Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2011,2011,2011,6,1,2,Export,682,Saudi Arabia,SAU,0,World,WLD,,,,,,,,270900,"Petroleum oils & oils obt. from bituminous mins., crude",8,Weight in kilograms,,,359241879000,,359241879000,,284976017553,,,0
H3,2011,2011,2011,6,1,2,Export,682,Saudi Arabia,SAU,473,"LAIA, nes",,,,,,,,,270900,"Petroleum oils & oils obt. from bituminous mins., crude",8,Weight in kilograms,,,4113704000,,4113704000,,3297981989,,,0
H3,2011,2011,2011,6,1,2,Export,682,Saudi Arabia,SAU,490,"Other Asia, nes",,,,,,,,,270900,"Petroleum oils & oils obt. from bituminous mins., crude",8,Weight in kilograms,,,222284556000,,222284556000,,176801237268,,,0
H3,2011,2011,2011,6,1,2,Export,682,Saudi Arabia,SAU,527,"Oceania, nes",,,,,,,,,270900,"Petroleum oils & oils obt. from bituminous mins., crude",8,Weight in kilograms,,,599366000,,599366000,,468715253,,,0
H3,2011,2011,2011,6,1,2,Export,682,Saudi Arabia,SAU,568,"Other Europe, nes",,,,,,,,,270900,"Petroleum oils & oils obt. from bituminous mins., crude",8,Weight in kilograms,,,42248432000,,42248432000,,33744820314,,,0
H3,2011,2011,2011,6,1,2,Export,682,Saudi Arabia,SAU,577,"Other Africa, nes",,,,,,,,,270900,"Petroleum oils & oils obt. from bituminous mins., crude",8,Weight in kilograms,,,5310084000,,5310084000,,4257100255,,,0
H3,2011,2011,2011,6,1,2,Export,682,Saudi Arabia,SAU,637,"North America and Central America, nes",,,,,,,,,270900,"Petroleum oils & oils obt. from bituminous mins., crude",8,Weight in kilograms,,,64997729000,,64997729000,,50777684805,,,0
H3,2011,2011,2011,6,1,2,Export,682,Saudi Arabia,SAU,899,"Areas, nes",,,,,,,,,270900,"Petroleum oils & oils obt. from bituminous mins., crude",8,Weight in kilograms,,,19688008000,,19688008000,,15628477669,,,0
