Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2000,36,2,392,H0,270900,8,3290121236,3290121236,706090100,6
2000,36,2,410,H0,270900,8,4347005041,4347005041,905720258,6
2000,36,1,414,H0,270900,8,43411892,43411892,9975565,6
2000,36,1,458,H0,270900,8,1939178967,1939178967,409558629,6
2000,36,2,458,H0,270900,8,77224643,77224643,14906183,6
2000,36,2,490,H0,270900,8,2925896238,2925896238,640371867,6
2000,36,1,512,H0,270900,8,225394565,225394565,39706490,6
2000,36,1,554,H0,270900,8,830156376,830156376,177150052,6
2000,36,2,554,H0,270900,8,327579119,327579119,74978487,6
2000,36,1,566,H0,270900,8,91260304,91260304,19473397,6
2000,36,1,598,H0,270900,8,2562385879,2562385879,556876189,6
2000,36,2,608,H0,270900,8,256668004,256668004,63489644,6
2000,36,1,626,H0,270900,8,118742801,118742801,20641527,6
2000,36,1,634,H0,270900,8,64053192,64053192,15125934,6
2000,36,1,682,H0,270900,8,2403265900,2403265900,476600816,6
2000,36,2,702,H0,270900,8,4259158999,4259158999,901660167,6
2000,36,1,704,H0,270900,8,4916629412,4916629412,1057056414,6
2000,36,1,710,H0,270900,8,135545976,135545976,28577576,6
2000,36,2,710,H0,270900,8,128025310,128025310,32049104,6
2000,36,1,764,H0,270900,8,547240704,547240704,117375593,6
2000,36,2,764,H0,270900,8,438823325,438823325,93048902,6
2000,36,1,784,H0,270900,8,2236529925,2236529925,487733266,6
2000,36,1,826,H0,270900,8,1,1,6423,6
2000,36,1,842,H0,270900,8,1,1,182,6
2000,36,2,842,H0,270900,8,3120954035,3120954035,674436742,6
2000,36,1,887,H0,270900,8,182881711,182881711,38560814,6
2000,40,1,0,H0,270900,8,7314934900,7314934900,1606347069,0
2000,40,2,0,H0,270900,8,57085000,57085000,12194435,0
2000,40,1,12,H0,270900,8,739575000,739575000,182530557,0
2000,40,1,31,H0,270900,8,144260000,144260000,30610349,0
2000,40,1,120,H0,270900,8,21074000,21074000,5650936,0
2000,40,1,203,H0,270900,8,31335700,31335700,6605715,0
2000,40,1,251,H0,270900,8,60200,60200,205394,0
2000,40,2,276,H0,270900,8,57085000,57085000,12194435,0
2000,40,1,368,H0,270900,8,1485659000,1485659000,295828522,0
2000,40,1,398,H0,270900,8,1461046000,1461046000,344485617,0
2000,40,1,434,H0,270900,8,699977000,699977000,159655521,0
2000,40,1,566,H0,270900,8,985995000,985995000,224627832,0
2000,40,1,643,H0,270900,8,821075000,821075000,174973942,0
2000,40,1,682,H0,270900,8,594984000,594984000,111737241,0
2000,40,1,760,H0,270900,8,249968000,249968000,53091056,0
2000,40,1,795,H0,270900,8,57986000,57986000,11382289,0
2000,40,1,887,H0,270900,8,21940000,21940000,4962097,0
2000,44,1,0,H0,270900,8,10343000,10343000,1458675,0
2000,44,1,842,H0,270900,8,1000,1000,57,0
2000,44,1,862,H0,270900,8,10342000,10342000,1458618,0
2000,50,1,0,H0,270900,8,1035502024,1035502024,117289173,0
2000,50,1,430,H0,270900,8,3039000,3039000,340509,0
2000,50,1,527,H0,270900,8,79997000,79997000,8989409,0
2000,50,1,682,H0,270900,8,950785024,950785024,107770239,0
2000,50,1,702,H0,270900,8,1658000,1658000,186470,0
2000,50,1,784,H0,270900,8,23000,23000,2546,0
2000,51,1,0,H0,270900,8,8656667,8656667,1413796,0
2000,51,1,268,H0,270900,8,8656667,8656667,1413796,0
2000,56,1,0,H0,270900,8,33081858966,33081858966,6683337491,0
2000,56,2,0,H0,270900,8,1058003296,1058003296,236049787,0
2000,56,1,12,H0,270900,8,2800,2800,589,0
2000,56,1,40,H0,270900,8,5,5,114,0
2000,56,2,40,H0,270900,8,8,8,114,0
2000,56,2,108,H0,270900,8,900,900,3436,0
2000,56,1,192,H0,270900,8,5604093,5604093,1509791,0
2000,56,1,233,H0,270900,8,47939878,47939878,14019510,0
2000,56,1,251,H0,270900,8,417745,417745,185697,0
2000,56,1,276,H0,270900,8,24437297,24437297,5670411,0
2000,56,2,276,H0,270900,8,4,4,131,0
2000,56,1,392,H0,270900,8,340,340,4142,0
2000,56,1,414,H0,270900,8,17727141,17727141,5454073,0
2000,56,1,430,H0,270900,8,82199064,82199064,13553258,0
2000,56,1,442,H0,270900,8,21,21,28,0
2000,56,2,442,H0,270900,8,2269,2269,2308,0
2000,56,1,528,H0,270900,8,26858015552,26858015552,5460164856,0
2000,56,2,528,H0,270900,8,1057896925,1057896925,235971564,0
2000,56,1,579,H0,270900,8,2806406502,2806406502,671431749,0
2000,56,1,643,H0,270900,8,895649622,895649622,189434865,0
2000,56,1,752,H0,270900,8,273601336,273601336,70156614,0
2000,56,2,752,H0,270900,8,103048,103048,70978,0
2000,56,2,757,H0,270900,8,142,142,1256,0
2000,56,1,826,H0,270900,8,1294321746,1294321746,151158170,0
2000,56,1,842,H0,270900,8,1300,1300,5321,0
2000,56,1,862,H0,270900,8,775534524,775534524,100588301,0
2000,68,1,0,H0,270900,7,137,118,126,0
2000,68,2,0,H0,270900,7,211377360,181751808,36426424,0
2000,68,2,32,H0,270900,7,11513700,9900000,2017260,0
2000,68,2,76,H0,270900,7,121717256,104658000,21738106,0
2000,68,2,600,H0,270900,7,650480,559312,148264,0
