Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,752,Sweden,SWE,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,19511642691,,19511642691,,7693824602,,,6
H5,2017,2017,2017,6,1,2,Export,752,Sweden,SWE,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,724601093,,724601093,,330049723,,,6
H5,2017,2017,2017,6,1,2,Export,752,Sweden,SWE,36,Australia,AUS,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,514,,514,,234,,,6
H5,2017,2017,2017,6,1,1,Import,752,Sweden,SWE,76,Brazil,BRA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,5052,,5052,,1992,,,6
H5,2017,2017,2017,6,1,1,Import,752,Sweden,SWE,208,Denmark,DNK,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,607684000,,607684000,,248804705,,,0
H5,2017,2017,2017,6,1,2,Export,752,Sweden,SWE,208,Denmark,DNK,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,11546,,11546,,7030,,,6
H5,2017,2017,2017,6,1,1,Import,752,Sweden,SWE,246,Finland,FIN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1485,,1485,,585,,,6
H5,2017,2017,2017,6,1,2,Export,752,Sweden,SWE,246,Finland,FIN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,6430,,6430,,2929,,,6
H5,2017,2017,2017,6,1,2,Export,752,Sweden,SWE,251,France,FRA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,83030514,,83030514,,35266970,,,6
H5,2017,2017,2017,6,1,1,Import,752,Sweden,SWE,368,Iraq,IRQ,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,178574000,,178574000,,65808160,,,0
H5,2017,2017,2017,6,1,1,Import,752,Sweden,SWE,376,Israel,ISR,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,96767000,,96767000,,41891013,,,0
