Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,724,Spain,ESP,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,67847291658,,,,25680385138,,,6
H5,2017,2017,2017,6,1,2,Export,724,Spain,ESP,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1224155211,,1224155211,,672989192,,,6
H5,2017,2017,2017,6,1,1,Import,724,Spain,ESP,8,Albania,ALB,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,387369000,,387369000,,100859773,,,0
H5,2017,2017,2017,6,1,1,Import,724,Spain,ESP,12,Algeria,DZA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1106364400,,1106364400,,488488362,,,0
H5,2017,2017,2017,6,1,2,Export,724,Spain,ESP,12,Algeria,DZA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,3640,,3640,,6755,,,0
H5,2017,2017,2017,6,1,1,Import,724,Spain,ESP,24,Angola,AGO,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,2532712000,,2532712000,,969032779,,,0
H5,2017,2017,2017,6,1,1,Import,724,Spain,ESP,31,Azerbaijan,AZE,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,940046055,,940046055,,412175206,,,0
H5,2017,2017,2017,6,1,2,Export,724,Spain,ESP,36,Australia,AUS,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,400,,400,,3290,,,0
H5,2017,2017,2017,6,1,1,Import,724,Spain,ESP,56,Belgium,BEL,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,2504,,,,947,,,6
H5,2017,2017,2017,6,1,2,Export,724,Spain,ESP,56,Belgium,BEL,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,200,,200,,852,,,0
H5,2017,2017,2017,6,1,1,Import,724,Spain,ESP,76,Brazil,BRA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,4136999000,,4136999000,,1336292883,,,0
H5,2017,2017,2017,6,1,1,Import,724,Spain,ESP,120,Cameroon,CMR,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,665539000,,665539000,,266290208,,,0
