Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2001,2001,2001,6,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,30319,,26070,,30762,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,10227691823,,8794232006,,1556464961,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,36,Australia,AUS,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,1246595277,,1071879000,,190876045,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,156,China,CHN,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,959257519,,824813000,,144279909,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,360,Indonesia,IDN,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,305487536,,262672000,,39874873,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,392,Japan,JPN,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,1527666791,,1313557000,,236645428,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,410,Rep. of Korea,KOR,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,1576119697,,1355219000,,226620399,,,0
H0,2001,2001,2001,6,1,1,Import,96,Brunei Darussalam,BRN,458,Malaysia,MYS,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,27121,,23320,,8640,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,554,New Zealand,NZL,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,196965680,,169360000,,29108399,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,699,India,IND,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,336119793,,289011000,,50088973,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,290788379,,250033000,,39238379,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,764,Thailand,THA,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,2673489281,,2298787000,,414054141,,,0
H0,2001,2001,2001,6,1,1,Import,96,Brunei Darussalam,BRN,826,United Kingdom,GBR,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,1454,,1250,,7136,,,0
H0,2001,2001,2001,6,1,1,Import,96,Brunei Darussalam,BRN,842,USA,USA,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,1745,,1500,,14986,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,842,USA,USA,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,1115201863,,958901000,,185678414,,,0
H0,2001,2001,2001,6,1,2,Export,96,Brunei Darussalam,BRN,899,"Areas, nes",,,,,,,,,270900,"Petroleum oils, oils from bituminous minerals, crude",7,Volume in litres,,,7,,6,,1,,,0
