Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,5073522657,,5073522657,,3515422761,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,226,Equatorial Guinea,GNQ,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,48698318,,48698318,,25581764,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,268,Georgia,GEO,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,169118544,,169118544,,113484478,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,276,Germany,DEU,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,280,,280,,1878,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,434,Libya,LBY,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,125520384,,125520384,,90323380,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,470,Malta,MLT,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,80536867,,80536867,,66280052,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,566,Nigeria,NGA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,30049000,,30049000,,16038943,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,643,Russian Federation,RUS,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,4230932614,,4230932614,,2963183999,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,792,Turkey,TUR,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,151391706,,151391706,,91907330,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,818,Egypt,EGY,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,237271186,,237271186,,148603337,,,0
H4,2014,2014,2014,6,1,1,Import,100,Bulgaria,BGR,826,United Kingdom,GBR,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,3758,,3758,,17600,,,0
