Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,52823580459,,52823580459,,38523919112,,,0
H4,2014,2014,2014,6,1,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,591826108,,591826108,,382435128,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,8,Albania,ALB,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,317352915,,317352915,,176600853,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,12,Algeria,DZA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1129022763,,1129022763,,919423313,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,24,Angola,AGO,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1721393604,,1721393604,,1216619889,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,31,Azerbaijan,AZE,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,9324480543,,9324480543,,7163106313,,,0
H4,2014,2014,2014,6,1,2,Export,381,Italy,ITA,40,Austria,AUT,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,511,,511,,4583,,,0
H4,2014,2014,2014,6,1,2,Export,381,Italy,ITA,56,Belgium,BEL,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,30,,30,,300,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,76,Brazil,BRA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,142940739,,142940739,,84528766,,,0
H4,2014,2014,2014,6,1,2,Export,381,Italy,ITA,100,Bulgaria,BGR,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,4,,4,,41,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,120,Cameroon,CMR,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,402960726,,402960726,,264165187,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,124,Canada,CAN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1807036568,,1807036568,,1391768772,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,170,Colombia,COL,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1125731429,,1125731429,,764947229,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,178,Congo,COG,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,705491865,,705491865,,535746708,,,0
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,180,Dem. Rep. of the Congo,COD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,39326964,,39326964,,33204735,,,0
