Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,129582388581,,129582388581,,108298230910,,,0
H4,2012,2012,2012,6,1,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,107,,107,,2200,,,0
H4,2012,2012,2012,6,1,1,Import,410,Rep. of Korea,KOR,12,Algeria,DZA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,89434734,,89434734,,79753323,,,0
H4,2012,2012,2012,6,1,1,Import,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,2485898876,,2485898876,,2195030585,,,0
H4,2012,2012,2012,6,1,1,Import,410,Rep. of Korea,KOR,40,Austria,AUT,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,35,,35,,305,,,0
H4,2012,2012,2012,6,1,1,Import,410,Rep. of Korea,KOR,76,Brazil,BRA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,34,,34,,101,,,0
H4,2012,2012,2012,6,1,1,Import,410,Rep. of Korea,KOR,96,Brunei Darussalam,BRN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1341218800,,1341218800,,1186069191,,,0
H4,2012,2012,2012,6,1,1,Import,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,25,,25,,201,,,0
H4,2012,2012,2012,6,1,1,Import,410,Rep. of Korea,KOR,170,Colombia,COL,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,120,,120,,389,,,0
H4,2012,2012,2012,6,1,1,Import,410,Rep. of Korea,KOR,208,Denmark,DNK,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,20,,20,,9,,,0
