Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,604,Peru,PER,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,4654373602,,4654373602,,3675693478,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,854105040,,854105040,,578624165,,,0
H4,2012,2012,2012,6,1,1,Import,604,Peru,PER,24,Angola,AGO,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,482957000,,482957000,,418196795,,,0
H4,2012,2012,2012,6,1,1,Import,604,Peru,PER,76,Brazil,BRA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,250805300,,250805300,,203473115,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,76,Brazil,BRA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,2,,2,,100,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,152,Chile,CHL,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,413655100,,413655100,,284655918,,,0
H4,2012,2012,2012,6,1,1,Import,604,Peru,PER,170,Colombia,COL,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,339818700,,339818700,,272510693,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,170,Colombia,COL,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,38,,38,,390,,,0
H4,2012,2012,2012,6,1,1,Import,604,Peru,PER,218,Ecuador,ECU,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,2364079200,,2364079200,,1676377482,,,0
H4,2012,2012,2012,6,1,1,Import,604,Peru,PER,566,Nigeria,NGA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1001505000,,1001505000,,922721855,,,0
H4,2012,2012,2012,6,1,1,Import,604,Peru,PER,591,Panama,PAN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,56504900,,56504900,,41531549,,,0
H4,2012,2012,2012,6,1,1,Import,604,Peru,PER,842,USA,USA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,2,,2,,92,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,842,USA,USA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,440449900,,440449900,,293967756,,,0
H4,2012,2012,2012,6,1,1,Import,604,Peru,PER,862,Venezuela,VEN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,158703500,,158703500,,140881894,,,0
