Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,6281118049,,6281118049,,1894506072,,,0
H4,2016,2016,2016,6,1,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,490412,,490412,,214266,,,0
H4,2016,2016,2016,6,1,1,Import,100,Bulgaria,BGR,268,Georgia,GEO,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,33890700,,33890700,,6228068,,,0
H4,2016,2016,2016,6,1,1,Import,100,Bulgaria,BGR,381,Italy,ITA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,86523500,,86523500,,29518684,,,0
H4,2016,2016,2016,6,1,1,Import,100,Bulgaria,BGR,642,Romania,ROU,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,89609,,89609,,29333,,,0
H4,2016,2016,2016,6,1,1,Import,100,Bulgaria,BGR,643,Russian Federation,RUS,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,4934603800,,4934603800,,1476561293,,,0
H4,2016,2016,2016,6,1,2,Export,100,Bulgaria,BGR,688,Serbia,SRB,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,490412,,490412,,214266,,,0
H4,2016,2016,2016,6,1,1,Import,100,Bulgaria,BGR,705,Slovenia,SVN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,3300,,3300,,5425,,,0
H4,2016,2016,2016,6,1,1,Import,100,Bulgaria,BGR,788,Tunisia,TUN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,40,,40,,580,,,0
H4,2016,2016,2016,6,1,1,Import,100,Bulgaria,BGR,792,Turkey,TUR,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,166371800,,166371800,,52898444,,,0
H4,2016,2016,2016,6,1,1,Import,100,Bulgaria,BGR,818,Egypt,EGY,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1059635300,,1059635300,,329264243,,,0
