Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,6,1,1,Import,699,India,IND,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,212765132688,,212765132688,,60869089420,,,6
H4,2016,2016,2016,6,1,1,Import,699,India,IND,12,Algeria,DZA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1175897000,,1175897000,,437579198,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,24,Angola,AGO,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,5388186976,,5388186976,,1687784592,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,31,Azerbaijan,AZE,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,758037984,,758037984,,274663605,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,36,Australia,AUS,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,240679992,,240679992,,65284503,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,76,Brazil,BRA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,3484836960,,3484836960,,973770045,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,96,Brunei Darussalam,BRN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1313197992,,1313197992,,461553473,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,120,Cameroon,CMR,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1313766008,,1313766008,,385735729,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,144,Sri Lanka,LKA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,118184000,,118184000,,22707949,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,148,Chad,TCD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,349857992,,349857992,,106214841,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,170,Colombia,COL,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,179352000,,179352000,,34460872,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,178,Congo,COG,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,75704000,,75704000,,21845789,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,218,Ecuador,ECU,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,300148000,,300148000,,70433851,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,226,Equatorial Guinea,GNQ,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1744230032,,1744230032,,546181111,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,266,Gabon,GAB,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,93293000,,93293000,,29937777,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,276,Germany,DEU,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,9000,,9000,,47907,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,300,Greece,GRC,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,28938000,,28938000,,9090661,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,324,Guinea,GIN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,144413000,,144413000,,47256091,,,0
H4,2016,2016,2016,6,1,1,Import,699,India,IND,360,Indonesia,IDN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,638425992,,638425992,,203921152,,,0
