Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,6,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,16221532438,,16221532438,,7103198586,,,0
H4,2015,2015,2015,6,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,11425244442,,11425244442,,4570286861,,,0
H4,2015,2015,2015,6,1,4,Re-Import,36,Australia,AUS,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,267001510,,267001510,,127393148,,,0
H4,2015,2015,2015,6,1,1,Import,36,Australia,AUS,36,Australia,AUS,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,267001510,,267001510,,127393148,,,0
H4,2015,2015,2015,6,1,4,Re-Import,36,Australia,AUS,36,Australia,AUS,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,267001510,,267001510,,127393148,,,0
H4,2015,2015,2015,6,1,2,Export,36,Australia,AUS,76,Brazil,BRA,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,221863930,,221863930,,81170454,,,0
H4,2015,2015,2015,6,1,1,Import,36,Australia,AUS,96,Brunei Darussalam,BRN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,703663712,,703663712,,307307088,,,0
H4,2015,2015,2015,6,1,1,Import,36,Australia,AUS,104,Myanmar,MMR,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,38258000,,38258000,,13603862,,,0
H4,2015,2015,2015,6,1,2,Export,36,Australia,AUS,156,China,CHN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,282723000,,282723000,,71526974,,,0
H4,2015,2015,2015,6,1,1,Import,36,Australia,AUS,178,Congo,COG,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,246826000,,246826000,,96943639,,,0
H4,2015,2015,2015,6,1,1,Import,36,Australia,AUS,266,Gabon,GAB,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1170300000,,1170300000,,455308759,,,0
